gandasaralle gandasu(N26MASC)+aru_u_LOC+ralle_ru_DECL
gandasaralle gandasu(N26MASC)+aru_u_LOC+ralle_ru_RIS
gandasigoskaravA gandasu(N26MASC)+igoskara_u_BEN+vA_#_INTR
gandasigoskaravU gandasu(N26MASC)+igoskara_u_BEN+vU_#_INCL
gandasigoskaravo gandasu(N26MASC)+igoskara_u_BEN+vo_#_DUB
gandasigoskaravo gandasu(N26MASC)+igoskara_u_BEN+vo_#_INDF
gandasigoskaravo gandasu(N26MASC)+igoskara_u_BEN+vo_#_PRES
gandasigoskarave gandasu(N26MASC)+igoskara_u_BEN+ve_#_IMPH
gandasigoskarave gandasu(N26MASC)+igoskara_u_BEN+ve_#_DECL
gandasigoskarave gandasu(N26MASC)+igoskara_u_BEN+ve_#_RIS
gandasigAgiyA gandasu(N26MASC)+igAgi_u_BEN+yA_#_INTR
gandasigAgiyU gandasu(N26MASC)+igAgi_u_BEN+yU_#_INCL
gandasigAgiyo gandasu(N26MASC)+igAgi_u_BEN+yo_#_DUB
gandasigAgiyo gandasu(N26MASC)+igAgi_u_BEN+yo_#_INDF
gandasigAgiyo gandasu(N26MASC)+igAgi_u_BEN+yo_#_PRES
gandasigAgiye gandasu(N26MASC)+igAgi_u_BEN+ye_#_IMPH
gandasigAgiye gandasu(N26MASC)+igAgi_u_BEN+ye_#_DECL
gandasigAgiye gandasu(N26MASC)+igAgi_u_BEN+ye_#_RIS
gandasigosugavA gandasu(N26MASC)+igosuga_u_BEN+vA_#_INTR
gandasigosugavU gandasu(N26MASC)+igosuga_u_BEN+vU_#_INCL
gandasigosugavo gandasu(N26MASC)+igosuga_u_BEN+vo_#_DUB
gandasigosugavo gandasu(N26MASC)+igosuga_u_BEN+vo_#_INDF
gandasigosugavo gandasu(N26MASC)+igosuga_u_BEN+vo_#_PRES
gandasigosugave gandasu(N26MASC)+igosuga_u_BEN+ve_#_IMPH
gandasigosugave gandasu(N26MASC)+igosuga_u_BEN+ve_#_DECL
gandasigosugave gandasu(N26MASC)+igosuga_u_BEN+ve_#_RIS
gandasigoskaravA gandasu(N26MASC)+igoskara_u_PUR+vA_#_INTR
gandasigoskaravU gandasu(N26MASC)+igoskara_u_PUR+vU_#_INCL
gandasigoskaravo gandasu(N26MASC)+igoskara_u_PUR+vo_#_DUB
gandasigoskaravo gandasu(N26MASC)+igoskara_u_PUR+vo_#_INDF
gandasigoskaravo gandasu(N26MASC)+igoskara_u_PUR+vo_#_PRES
gandasigoskarave gandasu(N26MASC)+igoskara_u_PUR+ve_#_IMPH
gandasigoskarave gandasu(N26MASC)+igoskara_u_PUR+ve_#_DECL
gandasigoskarave gandasu(N26MASC)+igoskara_u_PUR+ve_#_RIS
gandasigAgiyA gandasu(N26MASC)+igAgi_u_PUR+yA_#_INTR
gandasigAgiyU gandasu(N26MASC)+igAgi_u_PUR+yU_#_INCL
gandasigAgiyo gandasu(N26MASC)+igAgi_u_PUR+yo_#_DUB
gandasigAgiyo gandasu(N26MASC)+igAgi_u_PUR+yo_#_INDF
gandasigAgiyo gandasu(N26MASC)+igAgi_u_PUR+yo_#_PRES
gandasigAgiye gandasu(N26MASC)+igAgi_u_PUR+ye_#_IMPH
gandasigAgiye gandasu(N26MASC)+igAgi_u_PUR+ye_#_DECL
gandasigAgiye gandasu(N26MASC)+igAgi_u_PUR+ye_#_RIS
gandasigosugavA gandasu(N26MASC)+igosuga_u_PUR+vA_#_INTR
gandasigosugavU gandasu(N26MASC)+igosuga_u_PUR+vU_#_INCL
gandasigosugavo gandasu(N26MASC)+igosuga_u_PUR+vo_#_DUB
gandasigosugavo gandasu(N26MASC)+igosuga_u_PUR+vo_#_INDF
gandasigosugavo gandasu(N26MASC)+igosuga_u_PUR+vo_#_PRES
gandasigosugave gandasu(N26MASC)+igosuga_u_PUR+ve_#_IMPH
gandasigosugave gandasu(N26MASC)+igosuga_u_PUR+ve_#_DECL
gandasigosugave gandasu(N26MASC)+igosuga_u_PUR+ve_#_RIS
gandasigiMwalA gandasu(N26MASC)+igiMwa_u_COMP+lA_#_INTR
gandasigiMwalU gandasu(N26MASC)+igiMwa_u_COMP+lU_#_INCL
gandasigiMwalo gandasu(N26MASC)+igiMwa_u_COMP+lo_#_DUB
gandasigiMwalo gandasu(N26MASC)+igiMwa_u_COMP+lo_#_INDF
gandasigiMwalo gandasu(N26MASC)+igiMwa_u_COMP+lo_#_PRES
gandasigiMwale gandasu(N26MASC)+igiMwa_u_COMP+le_#_IMPH
gandasigiMwale gandasu(N26MASC)+igiMwa_u_COMP+le_#_DECL
gandasigiMwale gandasu(N26MASC)+igiMwa_u_COMP+le_#_RIS
gandasaMweVyA gandasu(N26MASC)+aMweV_u_SIM+yA_#_INTR
gandasaMweVyU gandasu(N26MASC)+aMweV_u_SIM+yU_#_INCL
gandasaMweVyo gandasu(N26MASC)+aMweV_u_SIM+yo_#_DUB
gandasaMweVyo gandasu(N26MASC)+aMweV_u_SIM+yo_#_INDF
gandasaMweVyo gandasu(N26MASC)+aMweV_u_SIM+yo_#_PRES
gandasaMweVye gandasu(N26MASC)+aMweV_u_SIM+ye_#_IMPH
gandasaMweVye gandasu(N26MASC)+aMweV_u_SIM+ye_#_DECL
gandasaMweVye gandasu(N26MASC)+aMweV_u_SIM+ye_#_RIS
gandasoVdaneVyA gandasu(N26MASC)+oVdaneV_u_SOC+yA_#_INTR
gandasoVdaneVyU gandasu(N26MASC)+oVdaneV_u_SOC+yU_#_INCL
gandasoVdaneVyo gandasu(N26MASC)+oVdaneV_u_SOC+yo_#_DUB
gandasoVdaneVyo gandasu(N26MASC)+oVdaneV_u_SOC+yo_#_INDF
gandasoVdaneVyo gandasu(N26MASC)+oVdaneV_u_SOC+yo_#_PRES
gandasoVdaneVye gandasu(N26MASC)+oVdaneV_u_SOC+ye_#_IMPH
