ajjaMxiriMxale ajja(N23MASC)+aMxiru_#_INS+riMxale_aMxiru_DECL
ajjaMxiriMxale ajja(N23MASC)+aMxiru_#_INS+riMxale_aMxiru_RIS
ajjaMxirigA ajja(N23MASC)+aMxiru_#_DAT+rigA_aMxiru_INTR
ajjaMxirigU ajja(N23MASC)+aMxiru_#_DAT+rigU_aMxiru_INCL
ajjaMxirigo ajja(N23MASC)+aMxiru_#_DAT+rigo_aMxiru_DUB
ajjaMxirigo ajja(N23MASC)+aMxiru_#_DAT+rigo_aMxiru_INDF
ajjaMxirigo ajja(N23MASC)+aMxiru_#_DAT+rigo_aMxiru_PRES
ajjaMxirige ajja(N23MASC)+aMxiru_#_DAT+rige_aMxiru_IMPH
ajjaMxirige ajja(N23MASC)+aMxiru_#_DAT+rige_aMxiru_DECL
ajjaMxirige ajja(N23MASC)+aMxiru_#_DAT+rige_aMxiru_RIS
ajjaMxiriMxalA ajja(N23MASC)+aMxiru_#_ABL+riMxalA_aMxiru_INTR
ajjaMxiriMxalU ajja(N23MASC)+aMxiru_#_ABL+riMxalU_aMxiru_INCL
ajjaMxiriMxalo ajja(N23MASC)+aMxiru_#_ABL+riMxalo_aMxiru_DUB
ajjaMxiriMxalo ajja(N23MASC)+aMxiru_#_ABL+riMxalo_aMxiru_INDF
ajjaMxiriMxalo ajja(N23MASC)+aMxiru_#_ABL+riMxalo_aMxiru_PRES
ajjaMxiriMxale ajja(N23MASC)+aMxiru_#_ABL+riMxale_aMxiru_IMPH
ajjaMxiriMxale ajja(N23MASC)+aMxiru_#_ABL+riMxale_aMxiru_DECL
ajjaMxiriMxale ajja(N23MASC)+aMxiru_#_ABL+riMxale_aMxiru_RIS
ajjaMxirallA ajja(N23MASC)+aMxiru_#_LOC+rallA_aMxiru_INTR
ajjaMxirallU ajja(N23MASC)+aMxiru_#_LOC+rallU_aMxiru_INCL
ajjaMxirallo ajja(N23MASC)+aMxiru_#_LOC+rallo_aMxiru_DUB
ajjaMxirallo ajja(N23MASC)+aMxiru_#_LOC+rallo_aMxiru_INDF
ajjaMxirallo ajja(N23MASC)+aMxiru_#_LOC+rallo_aMxiru_PRES
ajjaMxiralle ajja(N23MASC)+aMxiru_#_LOC+ralle_aMxiru_IMPH
ajjaMxiralle ajja(N23MASC)+aMxiru_#_LOC+ralle_aMxiru_DECL
ajjaMxiralle ajja(N23MASC)+aMxiru_#_LOC+ralle_aMxiru_RIS
ajjanigoskaravA ajja(N23MASC)+nigoskara_#_BEN+vA_#_INTR
ajjanigoskaravU ajja(N23MASC)+nigoskara_#_BEN+vU_#_INCL
ajjanigoskaravo ajja(N23MASC)+nigoskara_#_BEN+vo_#_DUB
ajjanigoskaravo ajja(N23MASC)+nigoskara_#_BEN+vo_#_INDF
ajjanigoskaravo ajja(N23MASC)+nigoskara_#_BEN+vo_#_PRES
ajjanigoskarave ajja(N23MASC)+nigoskara_#_BEN+ve_#_IMPH
ajjanigoskarave ajja(N23MASC)+nigoskara_#_BEN+ve_#_DECL
ajjanigoskarave ajja(N23MASC)+nigoskara_#_BEN+ve_#_RIS
ajjanigAgiyA ajja(N23MASC)+nigAgi_#_BEN+yA_#_INTR
ajjanigAgiyU ajja(N23MASC)+nigAgi_#_BEN+yU_#_INCL
ajjanigAgiyo ajja(N23MASC)+nigAgi_#_BEN+yo_#_DUB
ajjanigAgiyo ajja(N23MASC)+nigAgi_#_BEN+yo_#_INDF
ajjanigAgiyo ajja(N23MASC)+nigAgi_#_BEN+yo_#_PRES
ajjanigAgiye ajja(N23MASC)+nigAgi_#_BEN+ye_#_IMPH
ajjanigAgiye ajja(N23MASC)+nigAgi_#_BEN+ye_#_DECL
ajjanigAgiye ajja(N23MASC)+nigAgi_#_BEN+ye_#_RIS
ajjanigosugavA ajja(N23MASC)+nigosuga_#_BEN+vA_#_INTR
ajjanigosugavU ajja(N23MASC)+nigosuga_#_BEN+vU_#_INCL
ajjanigosugavo ajja(N23MASC)+nigosuga_#_BEN+vo_#_DUB
ajjanigosugavo ajja(N23MASC)+nigosuga_#_BEN+vo_#_INDF
ajjanigosugavo ajja(N23MASC)+nigosuga_#_BEN+vo_#_PRES
ajjanigosugave ajja(N23MASC)+nigosuga_#_BEN+ve_#_IMPH
ajjanigosugave ajja(N23MASC)+nigosuga_#_BEN+ve_#_DECL
ajjanigosugave ajja(N23MASC)+nigosuga_#_BEN+ve_#_RIS
ajjanigoskaravA ajja(N23MASC)+nigoskara_#_PUR+vA_#_INTR
ajjanigoskaravU ajja(N23MASC)+nigoskara_#_PUR+vU_#_INCL
ajjanigoskaravo ajja(N23MASC)+nigoskara_#_PUR+vo_#_DUB
ajjanigoskaravo ajja(N23MASC)+nigoskara_#_PUR+vo_#_INDF
ajjanigoskaravo ajja(N23MASC)+nigoskara_#_PUR+vo_#_PRES
