dipogalYallo dipo(N33NEUT)+galYu_#_LOC+lYallo_lYu_INDF
dipogalYallo dipo(N33NEUT)+galYu_#_LOC+lYallo_lYu_PRES
dipogalYalle dipo(N33NEUT)+galYu_#_LOC+lYalle_lYu_IMPH
dipogalYalle dipo(N33NEUT)+galYu_#_LOC+lYalle_lYu_DECL
dipogalYalle dipo(N33NEUT)+galYu_#_LOC+lYalle_lYu_RIS
dipovigoskaravA dipo(N33NEUT)+vigoskara_#_BEN+vA_#_INTR
dipovigoskaravU dipo(N33NEUT)+vigoskara_#_BEN+vU_#_INCL
dipovigoskaravo dipo(N33NEUT)+vigoskara_#_BEN+vo_#_DUB
dipovigoskaravo dipo(N33NEUT)+vigoskara_#_BEN+vo_#_INDF
dipovigoskaravo dipo(N33NEUT)+vigoskara_#_BEN+vo_#_PRES
dipovigoskarave dipo(N33NEUT)+vigoskara_#_BEN+ve_#_IMPH
dipovigoskarave dipo(N33NEUT)+vigoskara_#_BEN+ve_#_DECL
dipovigoskarave dipo(N33NEUT)+vigoskara_#_BEN+ve_#_RIS
dipovigoskaravA dipo(N33NEUT)+vigoskara_#_PUR+vA_#_INTR
dipovigoskaravU dipo(N33NEUT)+vigoskara_#_PUR+vU_#_INCL
dipovigoskaravo dipo(N33NEUT)+vigoskara_#_PUR+vo_#_DUB
dipovigoskaravo dipo(N33NEUT)+vigoskara_#_PUR+vo_#_INDF
dipovigoskaravo dipo(N33NEUT)+vigoskara_#_PUR+vo_#_PRES
dipovigoskarave dipo(N33NEUT)+vigoskara_#_PUR+ve_#_IMPH
dipovigoskarave dipo(N33NEUT)+vigoskara_#_PUR+ve_#_DECL
dipovigoskarave dipo(N33NEUT)+vigoskara_#_PUR+ve_#_RIS
dipovigAgiyA dipo(N33NEUT)+vigAgi_#_BEN+yA_#_INTR
dipovigAgiyU dipo(N33NEUT)+vigAgi_#_BEN+yU_#_INCL
dipovigAgiyo dipo(N33NEUT)+vigAgi_#_BEN+yo_#_DUB
dipovigAgiyo dipo(N33NEUT)+vigAgi_#_BEN+yo_#_INDF
dipovigAgiyo dipo(N33NEUT)+vigAgi_#_BEN+yo_#_PRES
dipovigAgiye dipo(N33NEUT)+vigAgi_#_BEN+ye_#_IMPH
dipovigAgiye dipo(N33NEUT)+vigAgi_#_BEN+ye_#_DECL
dipovigAgiye dipo(N33NEUT)+vigAgi_#_BEN+ye_#_RIS
dipovigAgiyA dipo(N33NEUT)+vigAgi_#_PUR+yA_#_INTR
dipovigAgiyU dipo(N33NEUT)+vigAgi_#_PUR+yU_#_INCL
dipovigAgiyo dipo(N33NEUT)+vigAgi_#_PUR+yo_#_DUB
dipovigAgiyo dipo(N33NEUT)+vigAgi_#_PUR+yo_#_INDF
dipovigAgiyo dipo(N33NEUT)+vigAgi_#_PUR+yo_#_PRES
dipovigAgiye dipo(N33NEUT)+vigAgi_#_PUR+ye_#_IMPH
dipovigAgiye dipo(N33NEUT)+vigAgi_#_PUR+ye_#_DECL
dipovigAgiye dipo(N33NEUT)+vigAgi_#_PUR+ye_#_RIS
dipovigosugavA dipo(N33NEUT)+vigosuga_#_BEN+vA_#_INTR
dipovigosugavU dipo(N33NEUT)+vigosuga_#_BEN+vU_#_INCL
dipovigosugavo dipo(N33NEUT)+vigosuga_#_BEN+vo_#_DUB
dipovigosugavo dipo(N33NEUT)+vigosuga_#_BEN+vo_#_INDF
dipovigosugavo dipo(N33NEUT)+vigosuga_#_BEN+vo_#_PRES
dipovigosugave dipo(N33NEUT)+vigosuga_#_BEN+ve_#_IMPH
dipovigosugave dipo(N33NEUT)+vigosuga_#_BEN+ve_#_DECL
dipovigosugave dipo(N33NEUT)+vigosuga_#_BEN+ve_#_RIS
dipovigosugavA dipo(N33NEUT)+vigosuga_#_PUR+vA_#_INTR
dipovigosugavU dipo(N33NEUT)+vigosuga_#_PUR+vU_#_INCL
dipovigosugavo dipo(N33NEUT)+vigosuga_#_PUR+vo_#_DUB
dipovigosugavo dipo(N33NEUT)+vigosuga_#_PUR+vo_#_INDF
dipovigosugavo dipo(N33NEUT)+vigosuga_#_PUR+vo_#_PRES
dipovigosugave dipo(N33NEUT)+vigosuga_#_PUR+ve_#_IMPH
dipovigosugave dipo(N33NEUT)+vigosuga_#_PUR+ve_#_DECL
dipovigosugave dipo(N33NEUT)+vigosuga_#_PUR+ve_#_RIS
dipovigiMwalA dipo(N33NEUT)+vigiMwa_#_COMP+lA_#_INTR
dipovigiMwalU dipo(N33NEUT)+vigiMwa_#_COMP+lU_#_INCL
dipovigiMwalo dipo(N33NEUT)+vigiMwa_#_COMP+lo_#_DUB
dipovigiMwalo dipo(N33NEUT)+vigiMwa_#_COMP+lo_#_INDF
dipovigiMwalo dipo(N33NEUT)+vigiMwa_#_COMP+lo_#_PRES
dipovigiMwale dipo(N33NEUT)+vigiMwa_#_COMP+le_#_IMPH
dipovigiMwale dipo(N33NEUT)+vigiMwa_#_COMP+le_#_DECL
dipovigiMwale dipo(N33NEUT)+vigiMwa_#_COMP+le_#_RIS
dipovinaMweVyA dipo(N33NEUT)+vinaMweV_#_SIM+yA_#_INTR
dipovinaMweVyU dipo(N33NEUT)+vinaMweV_#_SIM+yU_#_INCL
dipovinaMweVyo dipo(N33NEUT)+vinaMweV_#_SIM+yo_#_DUB
dipovinaMweVyo dipo(N33NEUT)+vinaMweV_#_SIM+yo_#_INDF
dipovinaMweVyo dipo(N33NEUT)+vinaMweV_#_SIM+yo_#_PRES
dipovinaMweVye dipo(N33NEUT)+vinaMweV_#_SIM+ye_#_IMPH
dipovinaMweVye dipo(N33NEUT)+vinaMweV_#_SIM+ye_#_DECL
dipovinaMweVye dipo(N33NEUT)+vinaMweV_#_SIM+ye_#_RIS
dipovoVdaneVyA dipo(N33NEUT)+voVdaneV_#_SOC+yA_#_INTR
dipovoVdaneVyU dipo(N33NEUT)+voVdaneV_#_SOC+yU_#_INCL
dipovoVdaneVyo dipo(N33NEUT)+voVdaneV_#_SOC+yo_#_DUB
dipovoVdaneVyo dipo(N33NEUT)+voVdaneV_#_SOC+yo_#_INDF
dipovoVdaneVyo dipo(N33NEUT)+voVdaneV_#_SOC+yo_#_PRES
dipovoVdaneVye dipo(N33NEUT)+voVdaneV_#_SOC+ye_#_IMPH
dipovoVdaneVye dipo(N33NEUT)+voVdaneV_#_SOC+ye_#_DECL
dipovoVdaneVye dipo(N33NEUT)+voVdaneV_#_SOC+ye_#_RIS
dipovinoVMxigeVyA dipo(N33NEUT)+vinoVMxigeV_#_SOC+yA_#_INTR
dipovinoVMxigeVyU dipo(N33NEUT)+vinoVMxigeV_#_SOC+yU_#_INCL
dipovinoVMxigeVyo dipo(N33NEUT)+vinoVMxigeV_#_SOC+yo_#_DUB
dipovinoVMxigeVyo dipo(N33NEUT)+vinoVMxigeV_#_SOC+yo_#_INDF
dipovinoVMxigeVyo dipo(N33NEUT)+vinoVMxigeV_#_SOC+yo_#_PRES
dipovinoVMxigeVye dipo(N33NEUT)+vinoVMxigeV_#_SOC+ye_#_IMPH
dipovinoVMxigeVye dipo(N33NEUT)+vinoVMxigeV_#_SOC+ye_#_DECL
dipovinoVMxigeVye dipo(N33NEUT)+vinoVMxigeV_#_SOC+ye_#_RIS
dipogalYigoskaravA dipo(N33NEUT)+galYu_#_BEN+lYigoskaravA_lYu_INTR
dipogalYigoskaravU dipo(N33NEUT)+galYu_#_BEN+lYigoskaravU_lYu_INCL
dipogalYigoskaravo dipo(N33NEUT)+galYu_#_BEN+lYigoskaravo_lYu_DUB
dipogalYigoskaravo dipo(N33NEUT)+galYu_#_BEN+lYigoskaravo_lYu_INDF
dipogalYigoskaravo dipo(N33NEUT)+galYu_#_BEN+lYigoskaravo_lYu_PRES
dipogalYigoskarave dipo(N33NEUT)+galYu_#_BEN+lYigoskarave_lYu_IMPH
dipogalYigoskarave dipo(N33NEUT)+galYu_#_BEN+lYigoskarave_lYu_DECL
dipogalYigoskarave dipo(N33NEUT)+galYu_#_BEN+lYigoskarave_lYu_RIS
dipogalYigoskaravA dipo(N33NEUT)+galYu_#_PUR+lYigoskaravA_lYu_INTR
dipogalYigoskaravU dipo(N33NEUT)+galYu_#_PUR+lYigoskaravU_lYu_INCL
dipogalYigoskaravo dipo(N33NEUT)+galYu_#_PUR+lYigoskaravo_lYu_DUB
dipogalYigoskaravo dipo(N33NEUT)+galYu_#_PUR+lYigoskaravo_lYu_INDF
dipogalYigoskaravo dipo(N33NEUT)+galYu_#_PUR+lYigoskaravo_lYu_PRES
dipogalYigoskarave dipo(N33NEUT)+galYu_#_PUR+lYigoskarave_lYu_IMPH
dipogalYigoskarave dipo(N33NEUT)+galYu_#_PUR+lYigoskarave_lYu_DECL
dipogalYigoskarave dipo(N33NEUT)+galYu_#_PUR+lYigoskarave_lYu_RIS
dipogalYigAgiyA dipo(N33NEUT)+galYu_#_BEN+lYigAgiyA_lYu_INTR
dipogalYigAgiyU dipo(N33NEUT)+galYu_#_BEN+lYigAgiyU_lYu_INCL
dipogalYigAgiyo dipo(N33NEUT)+galYu_#_BEN+lYigAgiyo_lYu_DUB
dipogalYigAgiyo dipo(N33NEUT)+galYu_#_BEN+lYigAgiyo_lYu_INDF
dipogalYigAgiyo dipo(N33NEUT)+galYu_#_BEN+lYigAgiyo_lYu_PRES
dipogalYigAgiye dipo(N33NEUT)+galYu_#_BEN+lYigAgiye_lYu_IMPH
dipogalYigAgiye dipo(N33NEUT)+galYu_#_BEN+lYigAgiye_lYu_DECL
dipogalYigAgiye dipo(N33NEUT)+galYu_#_BEN+lYigAgiye_lYu_RIS
dipogalYigAgiyA dipo(N33NEUT)+galYu_#_PUR+lYigAgiyA_lYu_INTR
dipogalYigAgiyU dipo(N33NEUT)+galYu_#_PUR+lYigAgiyU_lYu_INCL
dipogalYigAgiyo dipo(N33NEUT)+galYu_#_PUR+lYigAgiyo_lYu_DUB
dipogalYigAgiyo dipo(N33NEUT)+galYu_#_PUR+lYigAgiyo_lYu_INDF
dipogalYigAgiyo dipo(N33NEUT)+galYu_#_PUR+lYigAgiyo_lYu_PRES
dipogalYigAgiye dipo(N33NEUT)+galYu_#_PUR+lYigAgiye_lYu_IMPH
dipogalYigAgiye dipo(N33NEUT)+galYu_#_PUR+lYigAgiye_lYu_DECL
dipogalYigAgiye dipo(N33NEUT)+galYu_#_PUR+lYigAgiye_lYu_RIS
dipogalYigosugavA dipo(N33NEUT)+galYu_#_BEN+lYigosugavA_lYu_INTR
dipogalYigosugavU dipo(N33NEUT)+galYu_#_BEN+lYigosugavU_lYu_INCL
dipogalYigosugavo dipo(N33NEUT)+galYu_#_BEN+lYigosugavo_lYu_DUB
dipogalYigosugavo dipo(N33NEUT)+galYu_#_BEN+lYigosugavo_lYu_INDF
dipogalYigosugavo dipo(N33NEUT)+galYu_#_BEN+lYigosugavo_lYu_PRES
dipogalYigosugave dipo(N33NEUT)+galYu_#_BEN+lYigosugave_lYu_IMPH
dipogalYigosugave dipo(N33NEUT)+galYu_#_BEN+lYigosugave_lYu_DECL
dipogalYigosugave dipo(N33NEUT)+galYu_#_BEN+lYigosugave_lYu_RIS
dipogalYigosugavA dipo(N33NEUT)+galYu_#_PUR+lYigosugavA_lYu_INTR
dipogalYigosugavU dipo(N33NEUT)+galYu_#_PUR+lYigosugavU_lYu_INCL
dipogalYigosugavo dipo(N33NEUT)+galYu_#_PUR+lYigosugavo_lYu_DUB
dipogalYigosugavo dipo(N33NEUT)+galYu_#_PUR+lYigosugavo_lYu_INDF
dipogalYigosugavo dipo(N33NEUT)+galYu_#_PUR+lYigosugavo_lYu_PRES
dipogalYigosugave dipo(N33NEUT)+galYu_#_PUR+lYigosugave_lYu_IMPH
dipogalYigosugave dipo(N33NEUT)+galYu_#_PUR+lYigosugave_lYu_DECL
dipogalYigosugave dipo(N33NEUT)+galYu_#_PUR+lYigosugave_lYu_RIS
dipogalYigiMwalA dipo(N33NEUT)+galYu_#_COMP+lYigiMwalA_lYu_INTR
dipogalYigiMwalU dipo(N33NEUT)+galYu_#_COMP+lYigiMwalU_lYu_INCL
dipogalYigiMwalo dipo(N33NEUT)+galYu_#_COMP+lYigiMwalo_lYu_DUB
dipogalYigiMwalo dipo(N33NEUT)+galYu_#_COMP+lYigiMwalo_lYu_INDF
dipogalYigiMwalo dipo(N33NEUT)+galYu_#_COMP+lYigiMwalo_lYu_PRES
dipogalYigiMwale dipo(N33NEUT)+galYu_#_COMP+lYigiMwale_lYu_IMPH
dipogalYigiMwale dipo(N33NEUT)+galYu_#_COMP+lYigiMwale_lYu_DECL
dipogalYigiMwale dipo(N33NEUT)+galYu_#_COMP+lYigiMwale_lYu_RIS
dipogalYaMweVyA dipo(N33NEUT)+galYu_#_SIM+lYaMweVyA_lYu_INTR
dipogalYaMweVyU dipo(N33NEUT)+galYu_#_SIM+lYaMweVyU_lYu_INCL
dipogalYaMweVyo dipo(N33NEUT)+galYu_#_SIM+lYaMweVyo_lYu_DUB
dipogalYaMweVyo dipo(N33NEUT)+galYu_#_SIM+lYaMweVyo_lYu_INDF
dipogalYaMweVyo dipo(N33NEUT)+galYu_#_SIM+lYaMweVyo_lYu_PRES
dipogalYaMweVye dipo(N33NEUT)+galYu_#_SIM+lYaMweVye_lYu_IMPH
dipogalYaMweVye dipo(N33NEUT)+galYu_#_SIM+lYaMweVye_lYu_DECL
dipogalYaMweVye dipo(N33NEUT)+galYu_#_SIM+lYaMweVye_lYu_RIS
dipogalYoVdaneVyA dipo(N33NEUT)+galYu_#_SOC+lYoVdaneVyA_lYu_INTR
dipogalYoVdaneVyU dipo(N33NEUT)+galYu_#_SOC+lYoVdaneVyU_lYu_INCL
dipogalYoVdaneVyo dipo(N33NEUT)+galYu_#_SOC+lYoVdaneVyo_lYu_DUB
dipogalYoVdaneVyo dipo(N33NEUT)+galYu_#_SOC+lYoVdaneVyo_lYu_INDF
dipogalYoVdaneVyo dipo(N33NEUT)+galYu_#_SOC+lYoVdaneVyo_lYu_PRES
dipogalYoVdaneVye dipo(N33NEUT)+galYu_#_SOC+lYoVdaneVye_lYu_IMPH
dipogalYoVdaneVye dipo(N33NEUT)+galYu_#_SOC+lYoVdaneVye_lYu_DECL
dipogalYoVdaneVye dipo(N33NEUT)+galYu_#_SOC+lYoVdaneVye_lYu_RIS
dipogalYoVMxigeVyA dipo(N33NEUT)+galYu_#_SOC+lYoVMxigeVyA_lYu_INTR
dipogalYoVMxigeVyU dipo(N33NEUT)+galYu_#_SOC+lYoVMxigeVyU_lYu_INCL
dipogalYoVMxigeVyo dipo(N33NEUT)+galYu_#_SOC+lYoVMxigeVyo_lYu_DUB
dipogalYoVMxigeVyo dipo(N33NEUT)+galYu_#_SOC+lYoVMxigeVyo_lYu_INDF
dipogalYoVMxigeVyo dipo(N33NEUT)+galYu_#_SOC+lYoVMxigeVyo_lYu_PRES
dipogalYoVMxigeVye dipo(N33NEUT)+galYu_#_SOC+lYoVMxigeVye_lYu_IMPH
dipogalYoVMxigeVye dipo(N33NEUT)+galYu_#_SOC+lYoVMxigeVye_lYu_DECL
dipogalYoVMxigeVye dipo(N33NEUT)+galYu_#_SOC+lYoVMxigeVye_lYu_RIS


